,test_roc_auc,test_precision,test_recall,test_f0.5_score,scale_user,scale_activity
0,0.8274984244935932,0.38564617663395667,0.6007282428437523,0.41539113526449617,2.6,5.1
0,0.827492828980383,0.3797242140099283,0.6204845338524767,0.4116715621083248,2.6,5.6
0,0.8273051792649573,0.37488056056906255,0.6364914557646549,0.4084574167815731,2.6,6.1
0,0.8270668054631034,0.36867872952408154,0.6515610354026966,0.4037360045035787,2.6,6.6
0,0.8271192986245101,0.3642279317233331,0.6638906914701853,0.40037134632610644,2.6,7.1
0,0.8273380590920165,0.3599134630111809,0.6777345158266638,0.39716309060025523,2.6,7.6
0,0.8273146523862598,0.3562704795948764,0.6898839137645107,0.39441682537326966,2.6,8.1
0,0.8273030967876621,0.35187573803251887,0.6982839426058115,0.3906331932332465,2.6,8.6
0,0.8272268463703285,0.3477352039822147,0.7076934169731055,0.3871153497250949,2.6,9.1
0,0.8377482635755782,0.8135593220338984,0.005191434133679429,0.025311115798354773,3.1,0.1
0,0.8372621760596328,0.6095461658841941,0.16850529958901148,0.4001027221366205,3.1,0.6
0,0.8348961820535794,0.5222954886727166,0.28841300742663495,0.44940790508505046,3.1,1.1
0,0.833055863455804,0.4737320900614055,0.37547768404355036,0.45017202925361777,3.1,1.6
0,0.8318012650108733,0.4452962435658745,0.43975773307376165,0.4441774087830457,3.1,2.1
0,0.8306974896779591,0.4250188394875659,0.4879948085658663,0.4362792496615741,3.1,2.6
0,0.8298229303114657,0.4109869176681514,0.5289134039945201,0.4301690064858144,3.1,3.1
0,0.8291035971764111,0.3993032429940058,0.5619727449707982,0.42384033933329707,3.1,3.6
0,0.8290644800677253,0.3896422698348388,0.5894080323022568,0.4179747819239777,3.1,4.1
0,0.8286392945223154,0.38148827635582605,0.614716273703944,0.4128131627623207,3.1,4.6
0,0.8283726086144417,0.374470530640046,0.6342562549570986,0.4078836327215736,3.1,5.1
0,0.8283769036388413,0.36808121827411167,0.6535438748287548,0.4033140812857639,3.1,5.6
0,0.8282190792551107,0.36317375817121383,0.6689739707260798,0.3997173802528068,3.1,6.1
0,0.8279755745498246,0.3579074553040458,0.6834667243492681,0.3955945812848999,3.1,6.6
0,0.8280371787717609,0.35298210917614314,0.6949311413944769,0.39151169497997357,3.1,7.1
0,0.8282599145828401,0.3494858931938663,0.7082702429879587,0.38888492996666585,3.1,7.6
0,0.8282469810604687,0.34566105685989335,0.7197346600331676,0.3857598874641563,3.1,8.1
0,0.828237942098168,0.3417554317454404,0.727557862859615,0.38229989922028323,3.1,8.6
0,0.8281636998624217,0.3379964943612131,0.7368952339750523,0.3790323178827596,3.1,9.1
0,0.8376883018119918,0.8502024291497976,0.007570841444949167,0.03655225231497598,3.6,0.1
0,0.8373519714216199,0.5931011754366692,0.19464272838705027,0.4208106001558846,3.6,0.6
0,0.8351267814897914,0.5014905225265763,0.32143629677698465,0.4509680943613814,3.6,1.1
0,0.8334478737702347,0.45810794566654645,0.41217823923858965,0.4481209726729693,3.6,1.6
0,0.832266588760062,0.42939236621281873,0.4741149325834595,0.4376489224338751,3.6,2.1
0,0.8312578758316037,0.41185829142873376,0.5226404210829908,0.4300912575504053,3.6,2.6
0,0.8304187880613091,0.39947387240128723,0.5638834811449996,0.4242110287815833,3.6,3.1
0,0.8297320955420634,0.38758649908205056,0.5936621241617996,0.4165022612073937,3.6,3.6
0,0.8297220106845533,0.37910854930259164,0.6212416179969716,0.4111589375530889,3.6,4.1
0,0.8293169392893457,0.3703373118837571,0.6431970581873242,0.40467160834338906,3.6,4.6
0,0.8290554488489208,0.36482039489334706,0.6634580719590454,0.40091236264454455,3.6,5.1
0,0.829062951668983,0.35774514448128847,0.6806546975268585,0.3952469874978019,3.6,5.6
0,0.8289050588494877,0.35306515165399066,0.6945345735092653,0.3915682241319035,3.6,6.1
0,0.8286710422292876,0.3478668459034951,0.7090273271324536,0.38732560795960325,3.6,6.6
0,0.828732218884658,0.3437752523081684,0.7208522604369457,0.3839433157955374,3.6,7.1
0,0.8289447935543244,0.33997190729407045,0.7329656067488644,0.3808073542963745,3.6,7.6
0,0.8289406117523979,0.33645698986172107,0.7429879587569399,0.37780018331805687,3.6,8.1
0,0.8289307994868856,0.33279086093560534,0.751964813613094,0.3745483799139498,3.6,8.6
0,0.8288511779279744,0.3290702933699331,0.7606532554618213,0.37119202268776874,3.6,9.1
